player_name,position,season,scouting_blurb,Rnd,Pick,Tm,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Unnamed: 28,-9999,player_id
Skyy Moore,WR,2022,"A wide receiver from , drafted in Round 2.0, Pick 54, known for receiving potential.",2.0,54.0,KAN,21.0,2024.0,0.0,0.0,0.0,4.0,4.0,36.0,0.0,0.0,0.0,0.0,0.0,6.0,47.0,0.0,43.0,494.0,1.0,1.0,,,Western Michigan,College Stats,MoorSk01,moosky001
Trey Mcbride,TE,2022,"A tight end out of , picked in Round 2.0, Pick 55, with solid athletic traits.",2.0,55.0,ARI,22.0,2024.0,0.0,1.0,3.0,20.0,20.0,49.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,221.0,2236.0,6.0,7.0,,,Colorado St.,College Stats,McBrTr01,mcbtre002
James Cook,RB,2022,"A running back from , taken in Round 2.0, Pick 63, with strong rushing upside.",2.0,63.0,BUF,22.0,2024.0,0.0,2.0,2.0,28.0,28.0,49.0,0.0,0.0,0.0,0.0,0.0,533.0,2638.0,20.0,97.0,883.0,7.0,1.0,,,Georgia,College Stats,CookJa01,coojam001
Velus Jones Jr.,WR,2022,"A wide receiver from , drafted in Round 3.0, Pick 71, known for receiving potential.",3.0,71.0,CHI,25.0,2024.0,0.0,0.0,0.0,3.0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,20.0,165.0,1.0,12.0,135.0,1.0,1.0,,,Tennessee,College Stats,JoneVe00,jrrvel001
Jelani Woods,TE,2022,"A tight end out of , picked in Round 3.0, Pick 73, with solid athletic traits.",3.0,73.0,IND,23.0,2022.0,0.0,0.0,0.0,2.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,312.0,3.0,1.0,,,Virginia,College Stats,WoodJe01,woojel001
Desmond Ridder,QB,2022,"A quarterback from , selected in Round 3.0, Pick 74, with notable passing experience.",3.0,74.0,ATL,23.0,2024.0,0.0,0.0,1.0,13.0,12.0,25.0,374.0,588.0,4002.0,16.0,14.0,78.0,293.0,5.0,1.0,-6.0,0.0,,,,Cincinnati,College Stats,RiddDe00,riddes001
Greg Dulcich,TE,2022,"A tight end out of , picked in Round 3.0, Pick 80, with solid athletic traits.",3.0,80.0,DEN,22.0,2024.0,0.0,0.0,0.0,3.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,464.0,2.0,,,,UCLA,College Stats,DulcGr00,dulgre001
Malik Willis,QB,2022,"A quarterback from , selected in Round 3.0, Pick 86, with notable passing experience.",3.0,86.0,TEN,23.0,2024.0,0.0,0.0,0.0,4.0,1.0,18.0,75.0,120.0,900.0,3.0,3.0,52.0,282.0,2.0,0.0,0.0,0.0,1.0,,,Liberty,College Stats,WillMa12,wilmal001
Jalen Tolbert,WR,2022,"A wide receiver from , drafted in Round 3.0, Pick 88, known for receiving potential.",3.0,88.0,DAL,23.0,2024.0,0.0,0.0,1.0,7.0,7.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,890.0,9.0,4.0,,,South Alabama,College Stats,TolbJa00,toljal001
Rachaad White,RB,2022,"A running back from , taken in Round 3.0, Pick 91, with strong rushing upside.",3.0,91.0,TAM,23.0,2024.0,0.0,0.0,2.0,21.0,21.0,50.0,0.0,0.0,0.0,0.0,0.0,545.0,2084.0,10.0,165.0,1232.0,11.0,4.0,,,Arizona St.,College Stats,WhitRa01,whirac001
Tyrion Davis-Price,RB,2022,"A running back from , taken in Round 3.0, Pick 93, with strong rushing upside.",3.0,93.0,SFO,21.0,2024.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,43.0,127.0,0.0,0.0,0.0,0.0,,,,LSU,College Stats,DaviTy03,davtyr001
Matt Corral,QB,2022,"A quarterback from , selected in Round 3.0, Pick 94, with notable passing experience.",3.0,94.0,CAR,23.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Mississippi,College Stats,CorrMa00,cormat001
Brian Robinson Jr.,RB,2022,"A running back from , taken in Round 3.0, Pick 98, with strong rushing upside.",3.0,98.0,WAS,23.0,2024.0,0.0,0.0,3.0,16.0,16.0,41.0,0.0,0.0,0.0,0.0,0.0,570.0,2329.0,15.0,65.0,587.0,5.0,1.0,,,Alabama,College Stats,RobiBr01,jrrbri001
David Bell,WR,2022,"A wide receiver from , drafted in Round 3.0, Pick 99, known for receiving potential.",3.0,99.0,CLE,21.0,2024.0,0.0,0.0,0.0,3.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,408.0,3.0,1.0,,,Purdue,College Stats,BellDa02,beldav001
Jeremy Ruckert,TE,2022,"A tight end out of , picked in Round 3.0, Pick 101, with solid athletic traits.",3.0,101.0,NYJ,22.0,2024.0,0.0,0.0,1.0,2.0,2.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,264.0,0.0,3.0,,,Ohio St.,College Stats,RuckJe00,rucjer001
Danny Gray,WR,2022,"A wide receiver from , drafted in Round 3.0, Pick 105, known for receiving potential.",3.0,105.0,SFO,23.0,2022.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,10.0,0.0,,,,SMU,College Stats,GrayDa02,gradan001
Cade Otton,TE,2022,"A tight end out of , picked in Round 4.0, Pick 106, with solid athletic traits.",4.0,106.0,TAM,23.0,2024.0,0.0,0.0,3.0,13.0,13.0,47.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.0,0.0,148.0,1446.0,10.0,5.0,,,Washington,College Stats,OttoCa00,ottcad001
Dameon Pierce,RB,2022,"A running back from , taken in Round 4.0, Pick 107, with strong rushing upside.",4.0,107.0,HOU,22.0,2024.0,0.0,0.0,1.0,12.0,12.0,38.0,0.0,0.0,0.0,0.0,0.0,405.0,1648.0,8.0,45.0,268.0,1.0,1.0,,,Florida,College Stats,PierDa01,piedam001
Daniel Bellinger,TE,2022,"A tight end out of , picked in Round 4.0, Pick 112, with solid athletic traits.",4.0,112.0,NYG,21.0,2024.0,0.0,0.0,2.0,6.0,6.0,46.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,69.0,648.0,2.0,2.0,,,San Diego St.,College Stats,BellDa00,beldan001
Zamir White,RB,2022,"A running back from , taken in Round 4.0, Pick 122, with strong rushing upside.",4.0,122.0,LVR,22.0,2024.0,0.0,0.0,0.0,5.0,5.0,39.0,0.0,0.0,0.0,0.0,0.0,186.0,704.0,2.0,21.0,128.0,0.0,1.0,,,Georgia,College Stats,WhitZa01,whizam001
Isaiah Spiller,RB,2022,"A running back from , taken in Round 4.0, Pick 123, with strong rushing upside.",4.0,123.0,LAC,21.0,2023.0,0.0,0.0,0.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,55.0,137.0,0.0,9.0,47.0,0.0,,,,Texas A&M,College Stats,SpilIs00,spiisa001
Erik Ezukanma,WR,2022,"A wide receiver from , drafted in Round 4.0, Pick 125, known for receiving potential.",4.0,125.0,MIA,22.0,2024.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,0.0,1.0,3.0,0.0,,,,Texas Tech,College Stats,EzukEr00,ezueri001
Pierre Strong,RB,2022,"A running back from , taken in Round 4.0, Pick 127, with strong rushing upside.",4.0,127.0,NWE,23.0,2024.0,0.0,0.0,0.0,4.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,99.0,499.0,2.0,26.0,193.0,0.0,14.0,,,South Dakota St.,,StroPi00,strpie001
Charlie Kolar,TE,2022,"A tight end out of , picked in Round 4.0, Pick 128, with solid athletic traits.",4.0,128.0,BAL,23.0,2024.0,0.0,0.0,0.0,2.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,20.0,267.0,2.0,5.0,,,Iowa St.,College Stats,KolaCh00,kolcha001
Jake Ferguson,TE,2022,"A tight end out of , picked in Round 4.0, Pick 129, with solid athletic traits.",4.0,129.0,DAL,23.0,2024.0,0.0,1.0,2.0,15.0,15.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,1429.0,7.0,1.0,,,Wisconsin,College Stats,FergJa00,ferjak001
Hassan Haskins,RB,2022,"A running back from , taken in Round 4.0, Pick 131, with strong rushing upside.",4.0,131.0,TEN,22.0,2024.0,0.0,0.0,0.0,2.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,59.0,182.0,2.0,14.0,106.0,1.0,11.0,,,Michigan,College Stats,HaskHa00,hashas001
